type,ua,ru,weight
1,Супи м'ясні,Супы мясные,0
2,Суп овочевий з м'ясом,Суп овощной с мясом,0
3,,Мясо сублимированное,50
3,,Картофель сушеный или крупка,50
3,,Капуста сушеная,20
3,,Лук репчатый сушеный,10
3,,Морковь сушеная,10
3,,Лавровый лист,1
3,,Соль,3
2,Суп гороховий з м'ясом,Суп гороховый с мясом,0
3,,Горох,50
3,,Картофель сушеный или крупка,40
3,,Мясо сублимированное,45
3,,Лук репчатый сушеный,3
3,,Соль,3
3,,Лавровый лист,2
1,Супи молочні,Супы молочные,0
2,Суп-локшина молочний,Суп-лапша молочный,0
3,,"Макароны,лапша,вермишель",80
3,,Молоко сухое,40
3,,Масло топленое,10
3,,Сахар,10
3,,Соль,2
2,Суп рисовий молочний,Суп рисовый молочный,0
3,,Рис,80
3,,Молоко сухое,40
3,,Масло топленое,10
3,,Сахар,10
3,,Соль,2
1,Каші м'ясні,Каши мясные,0
2,Каша гречана з м'ясом,Каша гречневая с мясом,0
3,,Гречка,80
3,,Мясо сублимированное,50
3,,Масло топленое,10
3,,Соль,3
3,,Лавровый лист,1
2,Каша вівсяна з м'ясом,Каша овсяная с мясом,0
3,,Овсянка,80
3,,Мясо сублимированное,50
3,,Масло топленое,10
3,,Соль,3
3,,Лавровый лист,1
2,Каша рисова з м'ясом,Каша рисовая с мясом,0
3,,Рис,80
3,,Мясо сублимированное,50
3,,Масло топленое,10
3,,Соль,3
3,,Лавровый лист,1
1,Каші молочні,Каши молочные,0
2,Каша пшоняна молочна,Каша пшенная молочная,0
3,,Пшено,80
3,,Молоко сухое,40
3,,Масло топленое,10
3,,Сахар,10
3,,Соль,2
2,Каша манна молочна,Каша манная молочная,0
3,,Манка,70
3,,Молоко сухое,20
3,,Масло топленое,20
3,,Яичный порошок,5
3,,Сахар,10
3,,Соль,2
2,Каша рисова молочна,Каша рисовая молочная,0
3,,Рис,75
3,,Молоко сухое,20
3,,Изюм (виноград вял.с кост),10
3,,Масло топленое,10
3,,Сахар,10
3,,Соль,2
2,Каша гречана молочна,Каша гречневая молочная,0
3,,Гречка,100
3,,Молоко сухое,10
3,,Масло топленое,10
3,,Сахар,10
2,Толокно на молоці,Толокно на молоке,0
3,,Толокно,80
3,,Молоко сухое,40
3,,Масло топленое,10
3,,Сахар,10
3,,Соль,2
1,Страви з макаронів,Блюда из макарон,0
2,Вермішель з м'ясом,Вермишель с мясом,0
3,,"Макароны,лапша,вермишель",80
3,,Мясо сублимированное,50
3,,Лук репчатый сушеный,5
3,,Соль,3
3,,Лавровый лист,1
2,Макарони з сиром,Макароны с сыром,0
3,,"Макароны,лапша,вермишель",80
3,,Сыр 45% жирности,40
3,,Масло топленое,20
3,,Соль,3
3,,Лавровый лист,1
2,Макарони по флотськи,Макароны по флотски,0
3,,"Макароны,лапша,вермишель",80
3,,Мясо сублимированное,40
3,,Масло топленое,20
3,,Лавровый лист,1
3,,Соль,3
1,Страви з картоплі,Блюда из картофеля,0
2,Картопляне пюре з м'ясом,Картофельное пюре с мясом,0
3,,Картофель сушеный или крупка,70
3,,Мясо сублимированное,50
3,,Молоко сухое,10
3,,Масло топленое,10
3,,Соль,3
3,,Лавровый лист,1
1,Напої,Напитки,0
2,Чай,Чай,0
3,,Чай,5
3,,Сахар,20
2,Кава,Кофе,0
3,,Кофе растворимый,5
3,,Сахар,20
3,,Молоко сухое,20
2,Кисіль,Кисель,0
3,,Кисель фрукт-ягодн.конц.сухой,50
3,,Сахар,20
2,Компот,Компот,0
3,,Сухофрукты в ассортименте,50
3,,Сахар,20
2,Какао,Какао,0
3,,Какао порошок,10
3,,Молоко сухое,10
3,,Сахар,10
